Datetaken,Longitude,Latitude,City,year
2011-11-13 22:21:52,-74.09111,4.6304940000000006,bogota,2011
2011-05-12 19:56:17,-74.090327,4.630045,bogota,2011
2011-08-09 17:51:17,-74.092826,4.636825,bogota,2011
2011-06-25 11:54:23,-74.07513399999999,4.598358999999999,bogota,2011
2011-08-11 16:00:01,-74.075767,4.598006,bogota,2011
2011-05-01 12:28:46,-74.075634,4.598444000000001,bogota,2011
2011-02-21 03:24:26,-74.075907,4.5981559999999995,bogota,2011
2011-07-04 10:22:23,-74.0755,4.598167,bogota,2011
2011-06-28 11:12:51,-74.075542,4.598166,bogota,2011
2011-07-17 12:06:01,-74.075358,4.598029,bogota,2011
2011-05-07 11:00:52,-74.074928,4.616347,bogota,2011
2011-06-28 14:21:55,-74.074678,4.616583,bogota,2011
2011-12-14 10:38:06,-74.07490899999999,4.600080999999999,bogota,2011
2011-06-03 15:28:03,-74.07490899999999,4.600080999999999,bogota,2011
2011-05-01 13:39:19,-74.074223,4.600018,bogota,2011
2011-02-05 15:05:16,-74.05651999999999,4.671729,bogota,2011
2011-02-25 12:32:39,-74.091796,4.631179,bogota,2011
2011-07-06 07:59:31,-74.091796,4.631179,bogota,2011
2011-08-07 05:23:36,-74.091796,4.631435,bogota,2011
2011-05-31 19:08:35,-74.069565,4.597301,bogota,2011
2011-06-27 14:15:56,-74.06958399999999,4.597205000000001,bogota,2011
2011-02-21 00:08:02,-74.065822,4.616389,bogota,2011
2011-02-06 14:02:48,-74.065834,4.616666,bogota,2011
2011-12-08 23:48:56,-74.066069,4.623918,bogota,2011
2011-01-06 17:49:15,-74.060897,4.641744,bogota,2011
2011-09-11 15:08:14,-74.089736,4.631521,bogota,2011
2011-08-10 17:58:19,-74.089736,4.632034,bogota,2011
2011-06-27 12:14:10,-74.071312,4.59465,bogota,2011
2011-02-25 13:22:56,-74.05766700000001,4.657,bogota,2011
2011-03-16 01:49:42,-74.05766700000001,4.657,bogota,2011
2011-12-22 23:22:14,-74.057464,4.657528,bogota,2011
2011-08-01 06:40:24,-74.05745999999999,4.657155,bogota,2011
2011-08-06 22:32:46,-74.090723,4.6604790000000005,bogota,2011
2011-09-11 16:01:31,-74.090723,4.660544,bogota,2011
2011-06-01 00:00:00,-74.073944,4.5954180000000004,bogota,2011
2011-06-27 17:03:32,-74.06949200000001,4.599302,bogota,2011
2011-06-29 13:46:23,-74.082673,4.635111,bogota,2011
2011-06-25 17:13:14,-74.082505,4.635601,bogota,2011
2011-02-19 15:44:58,-74.064502,4.688324,bogota,2011
2011-10-15 10:37:35,-74.064502,4.688324,bogota,2011
2011-05-14 12:26:34,-74.064502,4.688324,bogota,2011
2011-07-03 10:43:40,-74.064502,4.688324,bogota,2011
2011-03-13 15:15:30,-74.064502,4.688324,bogota,2011
2011-12-04 10:15:47,-74.064502,4.688324,bogota,2011
2011-10-03 18:44:48,-74.064314,4.687998,bogota,2011
2011-05-08 04:35:21,-74.07018599999999,4.617978,bogota,2011
2011-10-18 22:06:32,-74.06212,4.653302,bogota,2011
2011-05-08 23:30:28,-74.04840899999999,4.6832769999999995,bogota,2011
2011-04-12 12:26:58,-74.04840899999999,4.6832769999999995,bogota,2011
2011-12-12 15:42:03,-74.10500400000001,4.644001,bogota,2011
2011-09-05 10:03:38,-74.09214,4.634601,bogota,2011
2011-05-20 15:12:27,-74.092826,4.634772,bogota,2011
2011-06-02 09:08:19,-74.056241,4.674126,bogota,2011
2011-02-02 09:16:44,-74.056241,4.674126,bogota,2011
2011-05-07 12:14:27,-74.056241,4.674126,bogota,2011
2011-03-27 13:30:54,-74.056241,4.674126,bogota,2011
2011-07-06 07:30:47,-74.056241,4.674126,bogota,2011
2011-05-06 13:51:11,-74.056241,4.674126,bogota,2011
2011-04-06 08:56:11,-74.056241,4.674126,bogota,2011
2011-06-28 13:12:17,-74.07857,4.618462999999999,bogota,2011
2011-08-01 00:59:29,-74.078063,4.618175,bogota,2011
2011-02-20 01:55:55,-74.073944,4.616464,bogota,2011
2011-09-03 07:03:49,-74.068608,4.622495,bogota,2011
2011-11-14 16:07:07,-74.055361,4.604679,bogota,2011
2011-06-25 11:48:29,-74.05535,4.604712999999999,bogota,2011
2011-08-13 15:33:56,-74.055318,4.604315,bogota,2011
2011-07-19 11:29:07,-74.055356,4.6045,bogota,2011
2011-09-08 09:11:35,-74.05549,4.604904,bogota,2011
2011-05-07 12:43:32,-74.055598,4.604801999999999,bogota,2011
2011-02-21 05:56:14,-74.055576,4.6044220000000005,bogota,2011
2011-08-22 17:48:36,-74.05583299999999,4.604914,bogota,2011
2011-04-14 20:48:05,-74.055576,4.6044220000000005,bogota,2011
2011-10-19 19:43:19,-74.062164,4.756425,bogota,2011
2011-10-26 16:00:31,-74.091796,4.642129,bogota,2011
2011-03-29 22:45:15,-74.056069,4.65926,bogota,2011
2011-05-10 23:44:46,-74.07070300000001,4.61554,bogota,2011
2011-05-06 11:34:48,-74.090616,4.630879,bogota,2011
2011-03-10 19:32:58,-74.090509,4.630666000000001,bogota,2011
2011-07-29 15:20:35,-74.090423,4.630922,bogota,2011
2011-09-24 14:35:04,-74.086647,4.62827,bogota,2011
2011-06-02 23:54:40,-74.086303,4.6284410000000005,bogota,2011
2011-05-19 17:01:06,-74.086239,4.628035,bogota,2011
2011-05-24 11:49:26,-74.086303,4.6284410000000005,bogota,2011
2011-06-11 12:10:23,-74.08081,4.6284410000000005,bogota,2011
2011-02-13 11:34:32,-74.083124,4.691025,bogota,2011
2011-08-21 21:45:36,-74.059653,4.655218,bogota,2011
2011-12-19 09:40:08,-74.106216,4.7003,bogota,2011
2011-02-21 14:16:57,-74.050011,4.67852,bogota,2011
2011-07-31 13:19:44,-74.076004,4.623736,bogota,2011
2011-05-31 20:54:04,-74.055573,4.605856,bogota,2011
2011-06-01 01:44:18,-74.055573,4.605856,bogota,2011
2011-05-07 11:53:15,-74.055603,4.6053440000000005,bogota,2011
2011-07-19 11:47:55,-74.05552800000001,4.605491000000001,bogota,2011
2011-07-04 17:22:13,-74.093728,4.658298,bogota,2011
2011-11-27 15:36:04,-74.066905,4.616892,bogota,2011
2011-03-13 14:46:40,-74.066905,4.616892,bogota,2011
2011-02-06 11:58:03,-74.067223,4.616111,bogota,2011
2011-12-01 00:22:27,-74.066905,4.616892,bogota,2011
2011-09-15 10:38:18,-74.065854,4.601278,bogota,2011
2011-02-25 10:08:56,-74.06535,4.601342,bogota,2011
2011-08-13 17:00:33,-74.065854,4.601278,bogota,2011
2011-01-31 14:30:09,-74.091796,4.664029,bogota,2011
2011-03-03 13:05:48,-74.091796,4.664029,bogota,2011
2011-02-08 03:03:55,-74.076476,4.594519999999999,bogota,2011
2011-01-16 12:34:24,-74.070596,4.704321,bogota,2011
2011-06-22 16:06:18,-74.06734200000001,4.602386,bogota,2011
2011-02-18 15:04:01,-74.022531,4.7281010000000006,bogota,2011
2011-03-08 18:15:37,-74.057078,4.656326,bogota,2011
2011-05-18 00:55:06,-74.063515,4.638857,bogota,2011
2011-01-01 12:10:14,-74.063515,4.638857,bogota,2011
2011-05-21 15:40:50,-74.054138,4.6642220000000005,bogota,2011
2011-05-20 02:45:35,-74.053507,4.664905999999999,bogota,2011
2011-11-22 20:01:46,-74.076004,4.598284,bogota,2011
2011-05-01 12:40:31,-74.07630400000001,4.598391,bogota,2011
2011-08-22 12:12:17,-74.07630400000001,4.598391,bogota,2011
2011-10-24 10:41:02,-74.076068,4.598305,bogota,2011
2011-12-27 20:17:21,-74.075959,4.598072,bogota,2011
2011-12-03 21:20:05,-74.076004,4.598284,bogota,2011
2011-08-11 16:00:00,-74.07596099999999,4.598038,bogota,2011
2011-12-06 12:50:16,-74.0761,4.598744,bogota,2011
2011-05-10 06:25:55,-74.0761,4.598027,bogota,2011
2011-06-27 14:54:08,-74.075934,4.598561,bogota,2011
2011-07-04 12:31:55,-74.076032,4.598123,bogota,2011
2011-05-01 12:21:53,-74.07624200000001,4.598719,bogota,2011
2011-06-25 12:17:51,-74.076454,4.598358999999999,bogota,2011
2011-03-13 13:25:27,-74.076132,4.598194,bogota,2011
2011-09-10 17:18:02,-74.086303,4.631179,bogota,2011
2011-08-18 18:22:59,-74.063515,4.628527,bogota,2011
2011-04-07 16:11:58,-74.10385600000001,4.647369,bogota,2011
2011-01-14 09:52:20,-74.10385600000001,4.647369,bogota,2011
2011-02-24 16:38:51,-74.10385600000001,4.647369,bogota,2011
2011-03-02 11:49:50,-74.10385600000001,4.647369,bogota,2011
2011-08-02 19:31:04,-74.07741999999999,4.645893,bogota,2011
2011-10-26 01:10:24,-74.077634,4.645594,bogota,2011
2011-06-12 13:23:05,-74.0485,4.677,bogota,2011
2011-12-22 23:17:53,-74.054374,4.6563300000000005,bogota,2011
2011-02-01 18:05:55,-74.054582,4.656453,bogota,2011
2011-05-18 09:03:08,-74.054764,4.655933999999999,bogota,2011
2011-10-29 16:13:01,-74.061584,4.644867,bogota,2011
2011-06-15 02:21:42,-74.06221,4.644632,bogota,2011
2011-02-06 12:15:14,-74.0675,4.617222,bogota,2011
2011-04-19 14:23:10,-74.063644,4.6263879999999995,bogota,2011
2011-10-12 23:46:05,-74.06660500000001,4.63289,bogota,2011
2011-05-31 02:15:35,-74.06660500000001,4.63289,bogota,2011
2011-08-08 01:23:57,-74.06660500000001,4.63289,bogota,2011
2011-01-15 16:53:01,-74.055868,4.657553,bogota,2011
2011-03-12 15:12:32,-74.090423,4.653764,bogota,2011
2011-05-16 23:21:32,-74.08905,4.630323000000001,bogota,2011
2011-07-31 16:58:03,-74.08887800000001,4.630408999999999,bogota,2011
2011-12-12 14:10:56,-74.089393,4.630152,bogota,2011
2011-06-29 17:04:05,-74.07830600000001,4.597611,bogota,2011
2011-06-10 10:51:35,-74.092826,4.6308370000000005,bogota,2011
2011-08-07 05:19:27,-74.092147,4.631339,bogota,2011
2011-05-06 22:12:36,-74.056885,4.669013,bogota,2011
2011-06-17 16:13:51,-74.084908,4.638028,bogota,2011
2011-05-02 17:57:27,-74.064,4.632666,bogota,2011
2011-06-16 18:09:22,-74.06380300000001,4.633075,bogota,2011
2011-06-07 17:26:04,-74.086303,4.633916,bogota,2011
2011-05-01 21:42:58,-74.086614,4.63413,bogota,2011
